step_id	stage	script	status	required_inputs	main_outputs	command_example	resume_safe
00	setup	legacy/chapter2_3/00_setup_dirs.sh	canonical_or_support	base analysis directory	directory tree	bash legacy/chapter2_3/00_setup_dirs.sh /path/to/chapter2_3_analysis	no
01	metadata_template	legacy/chapter2_3/01_make_sample_metadata_template.py	canonical_or_support	manual design information	sample metadata template	python legacy/chapter2_3/01_make_sample_metadata_template.py --outdir /path/to/chapter2_3_analysis/00_meta	no
02	qc_trim_filter	legacy/chapter2_3/02_single_end_qc_trim_filter.sh	canonical_or_support	raw single-end FASTQ; metadata	filtered FASTQ files	bash legacy/chapter2_3/02_single_end_qc_trim_filter.sh /path/to/chapter2_3_analysis	partial
03	abundance	legacy/chapter2_3/03_build_master_long_abundance.py	canonical_or_support	metadata; filtered FASTQ directory	master_long_abundance.tsv; sequence_catalog.tsv	python legacy/chapter2_3/03_build_master_long_abundance.py --metadata META --filtered-dir FILTERED --outdir OUT	no
04	qc_report	legacy/chapter2_3/04_compute_basic_qc_report.py	canonical_or_support	master abundance tables	basic QC report	python legacy/chapter2_3/04_compute_basic_qc_report.py --help	no
05	expected_design	legacy/chapter2_3/05_make_expected_design_templates.py	canonical_or_support	metadata/design information	expected inter/intra design templates	python legacy/chapter2_3/05_make_expected_design_templates.py --help	no
06	threshold_sensitivity	legacy/chapter2_3/06_threshold_sensitivity.py	canonical_or_support	master abundance table	threshold sensitivity tables	python legacy/chapter2_3/06_threshold_sensitivity.py --help	no
07	haplotype_complexity	legacy/chapter2_3/07_compute_haplotype_complexity.py	canonical_or_support	threshold tables or abundance tables	haplotype complexity tables	python legacy/chapter2_3/07_compute_haplotype_complexity.py --help	no
08	annotation_template	legacy/chapter2_3/08_make_sequence_annotation_template.py	canonical_or_support	sequence catalog	sequence annotation template	python legacy/chapter2_3/08_make_sequence_annotation_template.py --help	no
09	merge_annotation	legacy/chapter2_3/09_merge_sequence_annotations.py	canonical_or_support	annotation tables	merged annotation table	python legacy/chapter2_3/09_merge_sequence_annotations.py --help	no
10	bias_nontarget	legacy/chapter2_3/10_compute_bias_and_nontarget.py	canonical_or_support	annotated abundance tables; expected design	bias and non-target summaries	python legacy/chapter2_3/10_compute_bias_and_nontarget.py --help	no
11	annotation_queries	legacy/chapter2_3/11_export_full_annotation_queries.py	canonical_or_support	sequence catalog	BLAST query FASTA	python legacy/chapter2_3/11_export_full_annotation_queries.py --help	no
12	blast_db	legacy/chapter2_3/12_build_local_blastdb.sh	canonical_or_support	reference FASTA	local BLAST database	bash legacy/chapter2_3/12_build_local_blastdb.sh REF OUT	no
13	blast	legacy/chapter2_3/13_run_blast_by_marker.sh	canonical_or_support	query FASTA; BLAST database	BLAST tabular output	bash legacy/chapter2_3/13_run_blast_by_marker.sh QUERY DB OUT	partial
14	blast_collect	legacy/chapter2_3/14_collect_blast_best_hits.py	canonical_or_support	BLAST output	best-hit table	python legacy/chapter2_3/14_collect_blast_best_hits.py --help	no
15	label_harmonization	legacy/chapter2_3/15_harmonize_species_labels.py	canonical_or_support	annotation and best-hit tables	harmonized labels	python legacy/chapter2_3/15_harmonize_species_labels.py --help	no
16	label_unify	legacy/chapter2_3/16_check_and_unify_labels.py	canonical_or_support	harmonized labels	unified labels	python legacy/chapter2_3/16_check_and_unify_labels.py --help	no
16b	renormalize	legacy/chapter2_3/16_renormalize_threshold_tables.py	canonical_or_support	threshold annotated tables	renormalized threshold tables	python legacy/chapter2_3/16_renormalize_threshold_tables.py --help	no
17	recompute_bias	legacy/chapter2_3/17_recompute_bias_multi_threshold_from_renorm.py	canonical_or_support	renormalized tables; expected designs	multi-threshold bias outputs	python legacy/chapter2_3/17_recompute_bias_multi_threshold_from_renorm.py --help	no
18_25	chapter3_features_stats	legacy/chapter2_3/27_run_chapter3_pipeline_resume.sh	primary_entry	sequence catalog; renormalized tables; RNAfold	Chapter 3 feature/stat/case tables	cd legacy/chapter2_3 && bash 27_run_chapter3_pipeline_resume.sh /path/to/chapter2_3_analysis 48 /path/to/RNAfold	yes
